timestamp,EMGA_counter,EMGB_counter,Heart_Rate,actividad,paso_actividad,HRI_strategy,GT,tiempo,UserID
1753885731.4431574,3,3,55,1,5,1,1,84.7513837814331,1
1753885731.757252,3,3,55,1,5,1,1,85.06335043907166,1
1753885732.068923,3,3,55,1,5,1,1,85.37688326835632,1
1753885732.3662856,3,3,55,1,5,1,1,85.68915748596191,1
1753885732.6762521,3,3,55,1,5,1,1,86.00093364715576,1
1753885732.9890413,3,3,55,1,5,1,1,86.31157279014587,1
1753885733.3027596,3,3,55,1,5,1,1,86.62422776222229,1
1753885733.600912,3,3,55,1,5,1,1,86.93797707557678,1
1753885733.9137342,3,3,55,1,5,1,1,87.25156879425049,1
1753885734.2264,3,3,55,1,5,1,1,87.56424689292908,1
1753885734.534857,3,3,55,1,5,1,1,87.8784167766571,1
1753885734.8539636,3,3,55,1,5,1,1,88.17609190940857,1
1753885735.1672544,3,3,55,1,5,1,1,88.48937010765076,1
1753885735.4791982,3,3,55,1,5,1,1,88.80185770988464,1
1753885735.7932885,4,3,55,1,5,1,1,89.10053443908691,1
1753885736.092791,4,3,55,1,5,1,1,89.39795637130737,1
1753885736.406276,4,3,55,1,5,1,1,89.69757843017578,1
1753885736.717266,4,3,55,1,5,1,1,89.99664425849915,1
1753885737.0305438,4,3,55,1,5,1,1,90.30688500404358,1
1753885737.3419557,4,3,55,1,5,1,1,90.61770844459534,1
1753885737.654977,4,3,55,1,5,1,1,90.93838763237,1
1753885737.9810472,4,3,55,1,5,1,1,91.24313831329346,1
1753885738.2940197,4,3,55,1,5,1,1,91.57080149650574,1
1753885738.606743,4,3,55,1,5,1,1,91.86905527114868,1
1753885738.9041116,4,3,55,1,5,1,1,92.19627356529236,1
1753885739.2022479,4,3,55,1,5,1,1,92.5254852771759,1
1753885739.5154753,4,3,54,1,5,1,1,92.83892512321472,1
1753885739.8284411,4,3,54,1,5,1,1,93.15187478065491,1
1753885740.1397886,4,3,54,1,5,1,1,93.46257066726685,1
1753885740.4534323,4,3,54,1,5,1,1,93.77487063407898,1
1753885740.7668152,4,3,54,1,5,1,1,94.08948421478271,1
1753885741.0778768,4,3,54,1,5,1,1,94.41951179504395,1
1753885741.3913064,4,3,54,1,5,1,1,94.72975897789001,1
1753885741.7055051,4,3,54,1,5,1,1,95.04401183128357,1
1753885742.018409,4,3,54,1,5,1,1,95.35674834251404,1
1753885742.3298614,4,3,54,1,5,1,1,95.66893863677979,1
1753885742.6438227,4,3,54,1,5,1,1,95.98190641403198,1
1753885742.9566422,4,3,54,1,5,1,1,96.2947039604187,1
1753885743.2703977,4,3,54,1,5,1,1,96.60841703414917,1
1753885743.581578,4,3,54,1,5,1,1,96.92075610160828,1
1753885743.8942804,4,3,54,1,5,1,1,97.23289775848389,1
1753885744.20129,4,3,54,1,5,1,1,97.54604721069336,1
